ID	Card name	Art	Card	Element	Value	Color	Set	Comment
236	Fish Bait	Fish Bait card image	Card-Jitsu Cards full 236	Water	Burbank 5	Purple	3	The fish around Club Penguin won't just up and eat and old bait. In fact, each kind of fish has their own favorite food. Fishing experts recommend trying different types of bait for best results.
237	Hydro Hopper	Hydro Hopper card image (ID 237)	Card-Jitsu Cards full 237	Water	Burbank 7	Blue	3	"Catchin' a ride on the ol' Hydro Hopper at the Dock is sweet," the Tour Guide explained. "Catching air and sailing over obstacles is not only fun, but will earn you extra coins. Come on, give it a try!"
238	Puffle O's	Puffle O's card image	Card-Jitsu Cards full 238	Water	Burbank 7	Blue	3	"Though puffles enjoy cookies, and a stick of gum now and then, their favorite food is Puffle O's, without a doubt," said the Puffle Handler . "Make sure not to overfeed them though, because they might get a tummy ache."
239	Fall Fair Games	Fall Fair Games card image	Card-Jitsu Cards full 239	Fire	Burbank 4	Purple	3	"Once a year the Fall Fair comes to Club Penguin with a whole bunch of special games," said the Tour Guide. "These games award tickets you can trade for sweet prizes. And I mean 'sweet.' Their cotton candy is delicious!"
240	Thinga-ma-jig 3000	Thinga-ma-jig 3000 card image	Card-Jitsu Cards full 240	Fire	Burbank 5	Green	3	"Oh, you've heard of the Thing-ma-jig 3000?" Gary asked. "Oh yes, it's quite a clever little device, but it's hidden away in my Gadget Room. It's so well hidden in that you'd have to be some kind of secret agent to find it."
241	Rad Scientist	Rad Scientist card image	Card-Jitsu Cards full 241	Snow	Burbank 3	Red	3	This unique Halloween costume first appeared in October 2008, when Gary the Gadget Guy was working on the Monster Maker 3000 invention in his secret lab . "Spookalicious!"
242	Quip and Qua	Quip and Qua card image	Card-Jitsu Cards full 242	Snow	Burbank 5	Blue	3	"Truly we are the most bizarre costumes that can be purchased from the Stage..." scoffed Qua. "I don't know..." answered Quip. "I saw a squid monster with a sheep face walking around." "Well," replies Qua, "other than that guy..."
243	Twee	Twee card image	Card-Jitsu Cards full 243	Snow	Burbank 6	Purple	3	The fairy storyteller from the Fairy Fables play at the Stage. Twee loves to mix things up to keep it fresh – from colors to stories, things are never quite ordinary in her library!
244	Coins For Change	Coins For Change card image	Card-Jitsu Cards full 244	Snow	Burbank 8	Green	3	"They say it's better to give than to receive and that's totally tree with Coins for Change. There's always amazing amounts of generosity when penguins decide to change the world! Waddle around and make difference!"
245	Surfing with the Sharks	Surfing with the Sharks card image	Card-Jitsu Cards full 245	Water	Burbank 5	Red	3	"And I was like, woah, it's a shark! And it was like 'RAH!' and then I was like whoa, it's a shark! And you shoulda seen it man. I mean, it was huge – it was mahoosive!"
246	Dance Contest	Dance Contest card image (ID 246)	Card-Jitsu Cards full 246	Water	Burbank 6	Purple	3	"Any penguin brave enough to stand up, talk the talk, walk the walk, and bust out their icy best moves is an epic win here in the Dance Club."
247	Purple Octopus	Purple Octopus card image	Card-Jitsu Cards full 247	Water	Burbank 7	Purple	3	"What's wackier than an octopus showing up in the middle of a party? Nothing! That's epic wacky! This inflatable octopus tends to show up at the strangest of times, so keep your eyes open for other appearances!"
248	Giant Squid	Giant Squid card image	Card-Jitsu Cards full 248	Water	Burbank 8	Blue	3	"I'm telling you, the Squid is totally real. I was deep below the Iceberg in the Aqua Grabber one day when it went zipping past me going 'EAAAUUUUURGGGGH!'. We need to find it!"
301	Camera	Camera card image	Card-Jitsu Cards full 301	Fire	Burbank 2	Orange	4	This item is sometimes found in the Costume Trunk at the Stage. Once you have a camera, wave to snap award-winning photos all over the island.
302	Wigs	Wigs card image	Card-Jitsu Cards full 302	Fire	Burbank 3	Blue	4	All wigs can be found in Penguin Style catalog in the Gift Shop. Every penguin should have one – from punk to surfer – they really complete an outfit!
303	Pizza Parlor	Pizza Parlor card image	Card-Jitsu Cards full 303	Fire	Burbank 4	Red	4	Be a chef! Make pizzas in the Pizzatron 3000 game in the kitchen. Put on your red apron and dance to serve customers in the restaurant.
304	Coffee Machine	Coffee Machine card image	Card-Jitsu Cards full 304	Fire	Burbank 5	Orange	4	Secret Agents will find this machine in the Coffee Shop during the Secret of the Fur mission. It will help you save the island.
305	Costume Trunk	Costume Trunk card image	Card-Jitsu Cards full 305	Fire	Burbank 6	Red	4	You'll find this at the Stage – and it's never empty! Open it and choose an outfit. You could be a brave explorer , a scientist , a lobster , a he ro , a time traveler ... anything you want! [3]
306	Pet Shop Staff	Pet Shop Staff card image	Card-Jitsu Cards full 306	Fire	Burbank 6	Yellow	4	The employees in the Pet shop love looking after puffles! With the orange apron on, you can dance to serve them food. Look for it from time to time in Penguin Style .
307	Stompin' Bob	Stompin' Bob card image	Card-Jitsu Cards full 307	Fire	Burbank 7	Orange	4	The laid back bass player of Penguin Band. He keeps the beat with bandmate G Billy and loves to play the jazzy stuff.
308	G Billy	G Billy card image	Card-Jitsu Cards full 308	Fire	Burbank 8	Red	4	The founder of and drummer for Penguin Band. If you ever get the chance to meet him Backstage during Music Jam and be sure to get an autographed background by clicking his player card!
309	Outdoor Igloo	Outdoor Igloo card image	Card-Jitsu Cards full 309	Snow	Burbank 4	Blue	4	Penguins with outdoor areas for their igloos can throw amazing parties. Check out Better Igloos for cool furniture, like this BBQ . Oh the gnome ? Every party should have one!
310	Ticket Booth	Ticket Booth card image	Card-Jitsu Cards full 310	Snow	Burbank 4	Orange	4	You never know who will sell you a ticket for the latest Stage performance at the Plaza. Sometimes actors man the booth between shows!
311	Ridge Run	Ridge Run card image	Card-Jitsu Cards full 311	Snow	Burbank 5	Purple	4	It's the toughest Sled Racing run on the Ski Hill. Up to four penguins can race together, so if you're serious about challenging your buddies, this is the way to do it!
312	Clock Tower	Clock Tower card image	Card-Jitsu Cards full 312	Snow	Burbank 6	Green	4	Ready, set, throw snow! Find this snowball-powered clock in the Snow Forts. Throw snowballs at the target to help keep it powered. Just press T on your keyboard and click the red target!"
313	White Puffles	White Puffles card image	Card-Jitsu Cards full 313	Snow	Burbank 7	Yellow	4	First discovered in February '09, these critters are known to be gentle but powerful. Adopt one from the Pet Shop and discover what it can turn to ice with a single breath!
314	Dojo Courtyard	Dojo Courtyard card image	Card-Jitsu Cards full 314	Snow	Burbank 8	Green	4	This is the outside of the Dojo and it was uncovered by penguins in November 2008 . To get here, you must use your map.
315	Rocking Horse	Rocking Horse card image	Card-Jitsu Cards full 315	Water	Burbank 2	Green	4	This ginormous rocking horse somehow found itself upstairs in the Lodge Attic. To see it for yourself, go to the Ski Village and climb the ladder inside the Ski Lodge.
316	Penguin Style	Penguin Style card image	Card-Jitsu Cards full 316	Water	Burbank 3	Green	4	There's new stuff in this catalog every month! Why not get your friends together in the Gift Shop and check it out? Pick out new outfits, then hold a fashion show in your igloo!
317	Stage Director	Stage Director card image	Card-Jitsu Cards full 317	Fire	Burbank 4	Red	4	Directors needed! Located in the Plaza, the Stage has new plays every month and always needs actors, stagehands, and even directors to make every performance a success. Grab a costume from the catalog and break a leg!
318	Conductor	Conductor card image	Card-Jitsu Cards full 318	Water	Burbank 4	Yellow	4	This outfit showed up in the Penguin Style during Music Jam. When penguins put it on and danced, they conducted orchestras all over the island.
319	Beacon	Beacon card image	Card-Jitsu Cards full 319	Water	Burbank 5	Orange	4	From the top of the Lighthouse, you can look through the telescope to see if there's sign of Rockhopper's ship or play the game Jet Pack Adventure.
320	Discovering The Underground	Discovering The Underground card image	Card-Jitsu Cards full 320	Fire	Burbank 6	Orange	4	There's two secret passages to the underground. You'll find this one in the Plaza. To find the other passage, head to the room with the best beats and pay attention to the speaker on the far right.
321	Franky	Franky card image	Card-Jitsu Cards full 321	Water	Burbank 6	Orange	4	This cool lead guitarist of Penguin Band loves to hang out with other music fans around the island. Find him with his bandmates Backstage during Music Jam and receive an autographed background.
322	Petey K .	Petey K. card image	Card-Jitsu Cards full 322	Water	Burbank 8	Blue	4	The talented pianist and accordion player in the Penguin Band. He's always bursting with new song ideas and loves to share them with audiences around the island.
323	Boombox	Boombox card image	Card-Jitsu Cards full 323	Fire	Burbank 3	Purple	4	Penguins learned a new dance with this item when Cadence showed up with it during a party in the Night Club. If you have the item, wear it and press D on your keyboard and see what you can do!
324	Mild Mannered Reporter	Mild Mannered Reporter card image	Card-Jitsu Cards full 324	Fire	Burbank 4	Green	4	This character appears in Shadow Guy and Gamma Gal vs. Squidzoid at the Stage. He's a bit of a shy guy, but he's just as important as the ones with the super powers!
325	The Twelfth Fish	The Twelfth Fish card image	Card-Jitsu Cards full 325	Fire	Burbank 5	Yellow	4	Appearing at the Stage Dec. 2007, this Shakespearean style comedy stared a Bard , a Countess , a Jester and (obviously) a Fish who couldn't stop blubbing. "BUT NEVER DOUBT I BLUB!"
326	April Fool's Day Party	April Fool's Day Party card image	Card-Jitsu Cards full 326	Fire	Burbank 6	Orange	4	It's a celebration where things happen that can't happen! Discover the wacky and unexpected with friends across the island at this party – from surprise-filled boxes to new dimensions !
327	Plasma Glow Wave	Plasma Glow Wave card image	Card-Jitsu Cards full 327	Fire	Burbank 7	Red	4	You can light up the Stage with Gamma Gal's incredible Plasma Glow Wave during every performance of Shadow Guy and Gamma Gal vs. Squidzoid . Wear the costume and wave to activate the special power.
328	Cowbell	Cowbell card image	Card-Jitsu Cards full 328	Snow	Burbank 2	Red	4	First available at the Music Jam '09 party, this item is still a hit across the island! To join in the fun, press D on your keyboard while wearing the item.
329	O Berry Bush	O Berry Bush card image	Card-Jitsu Cards full 329	Snow	Burbank 3	Orange	4	Puffles love them and it's a good thing too! When they get hungry it's the best meal to recharge their energy. O'Berries grow in the wild and are always in full supply on your puffle's player card.
330	Chester The Time Traveler	Chester The Time Traveler card image	Card-Jitsu Cards full 330	Snow	Burbank 3	Red	4	In Penguins that Time Forgot at the Stage, this curious character finds himself on an adventure back in time surrounded by dinosaurs and cave penguins.
331	101 Days of Fun	101 Days of Fun card image	Card-Jitsu Cards full 331	Snow	Burbank 5	Red	4	There's always a lot to discover around the island and in 2009, for 101 days straight, penguins had fun completing a new activity every day!
332	Color Vote [4]	Color Vote card image	Card-Jitsu Cards full 332	Snow	Burbank 6	Yellow	4	The 2009 color vote was an epic battle between Lavender , Maroon and Aqua . Penguins voted in the Forest and the winning color was added to the Penguin Style catalog as a new penguin color.
333	Christmas Party	Christmas Party card image	Card-Jitsu Cards full 333	Snow	Burbank 7	Green	4	Holiday spirit takes over the island during this party! This is the Photo Booth in the Forest where penguins posed for pictures with Santa.
334	Viking Opera	Viking Opera card image	Card-Jitsu Cards full 334	Water	Burbank 2	Green	4	Be part of this popular Stage show, as a detective, ghost, or even the Viking Opera singer. Put on the Viking wig and dance, following along to the script.
335	Water Balloons	Water Balloons card image	Card-Jitsu Cards full 335	Water	Burbank 3	Yellow	4	Most penguins have had a snowball fight at the Snow Forts. But at the Water Party , the splat of water balloons replacing the thud of snow. Too cool!
336	Tuba	Tuba card image	Card-Jitsu Cards full 336	Water	Burbank 4	Red	4	At the Music Jam '09 party, this item was popular at the Lighthouse stage. When you wore it and danced, you could even hear it playing!
337	Rockhopper's Plants	Rockhopper's Plants card image	Card-Jitsu Cards full 337	Water	Burbank 5	Purple	4	The captain of the Migrator brought these plants to the island in 2009. Penguins put them in their igloos and they started to grow! Every few weeks they change – even to this day!
338	Adventure Party	Adventure Party card image	Card-Jitsu Cards full 338	Water	Burbank 7	Blue	4	During this June 2009 party, after Rockhopper's plants took over the island, penguin explorers discovered rare flowers – some that changed colors and others that liked to eat snowballs !
339	Penguin Play Awards	Penguin Play Awards card image (ID 339)	Card-Jitsu Cards full 339	Fire	Burbank 7	Orange	4	Penguins called this one of 2009's coolest events. They voted for their favorite stage plays, got to meet Penguin Band and Aunt Arctic, and enjoyed dressing up to receive their own awards!
340	All-Access Pass	All-Access Pass card image	Card-Jitsu Cards full 340	Fire	Burbank 4	Purple	4	During Music Jam '09 party, this pass got penguins into the Backstage and Night Club Rooftop where they hung out with friends and had a chance to meet Penguin Band and Cadence.
341	Cadence's Autograph	Cadence's Autograph card image	Card-Jitsu Cards full 341	Fire	Burbank 5	Green	4	Cadence is a very popular penguin around here! She makes appearances at big events like the Penguin Play Awards. You can meet her and receive an autographed background by clicking her player card.
342	Treasure Book	Treasure Book card image	Card-Jitsu Cards full 342	Snow	Burbank 5	Blue	4	This book contains the best collection of rare and exclusive items. Look for a code with select toys and enter at clubpenguin.com to gain access to this special catalog.
343	Black Hoodie	Black Hoodie card image	Card-Jitsu Cards full 343	Snow	Burbank 6	Purple	4	You might spot more than a few penguins wearing this popular item. When it appears in Penguin Style , the Gift Shop always has plenty in stock!
344	Propellor Cap	Propellor Cap card image	Card-Jitsu Cards full 344	Snow	Burbank 8	Green	4	Penguins flew for the first time when they danced while wearing this item at the 2006 April Fool's Day Party. Penguins aren't the only ones who like these caps though – check out the green puffles!
345	Dessert Pizza	Dessert Pizza card image	Card-Jitsu Cards full 345	Water	Burbank 5	Red	4	One of the island's best kept secrets. Make Dessert Pizza in the Pizza Parlor's Pizzatron 3000 game by clicking on the lever of the machine when you enter the game!
346	Black Electric Guitar	Black Electric Guitar card image	Card-Jitsu Cards full 346	Water	Burbank 6	Red	4	This limited edition instrument is available from the Penguin Style catalog in the Gift Shop from time to time. To play it, put it on and dance. Go solo or join a band!
347	Mastering The Elements	Mastering The Elements card image	Card-Jitsu Cards full 347	Water	Burbank 7	Purple	4	Fire. Snow. Water. That's what you'll need to master the Card-Jitsu game. Train with your friends and Sensei at the Dojo to earn belts and become a ninja.
348	Elite Penguin Force	Elite Penguin Force card image (ID 348)	Card-Jitsu Cards full 348	Water	Burbank 8	Blue	4	This super-secret agency has one goal: to protect the Club Penguin island. Their base, the Command Room , is hidden near the Ski Village.
